Title,Character,Max Level,SA Level,Rarity,Type,Cost,ID,JP Release Date,Global Release Date,Special Skills,Leader Skill,Super Attack Name,Super Attack Effect,Passive Skill Name,Passive Skill,Links,Categories,HP,Attack,Defense,Details,References,Transforms Into,JP EZA Release Date,Global EZA Release Date,EZA Leader Skill,EZA Super Attack Name,EZA Super Attack Effect,EZA Passive Skill,EZA HP,EZA Attack,EZA Defense,Transformation Type,Transformation Condition,EZA Transformation Condition,EZA Ultra Super Attack Name,EZA Ultra Super Attack Effect,Ultra Super Attack Name,Ultra Super Attack Effect,EZA Active Skill Name,EZA Active Skill,EZA Activation Condition,Active Skill Name,Active Skill,Activation Condition,Unit Super Attack Name,Unit Super Attack Effect,EZA Unit Super Attack Name,EZA Unit Super Attack Effect
Miracle-Making Super Saiyan,Super Saiyan Goku,150,1/20,LR,Super AGL,77,11849,12 Dec 2019,20 Apr 2020,"[""Boost Category"", ""Change Ki Spheres"", ""Lower ATK"", ""Lower DEF"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Raise Ki (Ki Sphere)"", ""Raise ATK (Ki Sphere)"", ""Raise DEF (Ki Sphere)"", ""Seal Super Attack""]","""Super Saiyans"" Category Ki +4 and HP, ATK & DEF +130%",Energy Meteor,Greatly raises DEF for 1 turn[1] and causes colossal damage to enemy,Super Saiyans United,"ATK & DEF +59%; randomly changes Ki Spheres of a certain Type to Rainbow Ki Ki Spheres; plus an additional Ki +2 per Rainbow Ki Ki Sphere obtained; ATK & DEF +7% per Ki Sphere obtained, plus an additional ATK +7% per ""Super Saiyans"" Category ally (self excluded) attacking in the same turn","[""Super Saiyan Lv 1: ATK +10%Lv 10: ATK +15%"", ""Golden Warrior Lv 1: All enemies' DEF -5% and Ki +1Lv 10: All enemies' DEF -10% and Ki +1"", ""Saiyan Warrior Race Lv 1: ATK +5%Lv 10: ATK +10%"", ""Experienced Fighters Lv 1: ATK +10%Lv 10: ATK +15%"", ""Prepared for Battle Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +5%"", ""Fierce Battle Lv 1: ATK +15%Lv 10: ATK +20%"", ""Legendary Power Lv 1: ATK +10% when performing a Super AttackLv 10: ATK +15% when performing a Super Attack""]","[""Pure Saiyans"", ""Movie Heroes"", ""Goku's Family"", ""Super Saiyans"", ""Final Trump Card"", ""Connected Hope"", ""Turtle School"", ""Bond of Friendship"", ""Accelerated Battle"", ""Bond of Parent and Child""]","[""5636"", ""18600"", ""20600"", ""23200""]","[""4783"", ""15785"", ""17785"", ""20785""]","[""2604"", ""8594"", ""10594"", ""13994""]","[""\u25ba 12 Ki Multiplier is 150%; 24 Ki Multiplier is 200%\u00a0\u00a0\u00a0\u00a0\u2022 (Full 12-24 Ki Multipliers table)\u25ba SA Lv.20 raises SA Multiplier by an additional 30%"", ""\u25ba  can be farmed to raise Super Attack\u25ba  can be purchased with Treasure Items and can be used to raise Super Attack""]","[""\u2191 Raises DEF by 50% for 1 turn\n"", ""\u2191 Lowers enemy's ATK & DEF by 20% for 3 turns\n""]",,,,,,,,,,,,,,,, Spirit Bomb Super Saiyan,"Causes mega-colossal damage to enemy, lowers ATK & DEF[2] and seals Super Attack",,,,,,,,,,
The Tiniest Top-Notch Hero,Vegito (Candy),120/140,1/15,UR,Super TEQ,32,11850,21 Oct 2019,21 Oct 2019,"[""Disable Guard"", ""Evasion"", ""Raise ATK (Ki Sphere)"", ""Raise DEF (Ki Sphere)"", ""Recovery (Ki Sphere)"", ""Stack Attack"", ""Stack Defense"", ""Stun""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",,,Frontal Breakthrough,,"[""More Than Meets the Eye Lv 1: ATK +10%Lv 10: ATK & DEF +10%"", ""Shocking Speed Lv 1: Ki +2Lv 10: Ki +2 and DEF +5%"", ""Over in a Flash Lv 1: Ki +3Lv 10: Ki +3 and ATK +7%"", ""Power Bestowed by God Lv 1: ATK +5% when performing a Super AttackLv 10: ATK +10% when performing a Super Attack"", ""Infighter Lv 1: ATK +10% and all enemies' DEF -10%Lv 10: ATK +15% and all enemies' DEF -15%"", ""Supreme Power Lv 1: ATK & DEF +5% and activates PenetrationLv 10: ATK & DEF +10% and activates Penetration"", ""Shattering the Limit Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +5%""]","[""Majin Buu Saga"", ""Potara"", ""Final Trump Card"", ""Battle of Wits"", ""Fused Fighters""]","[""1731"", ""5714"", ""6914"", ""8474""]","[""2372"", ""7829"", ""9029"", ""11069""]","[""1496"", ""4938"", ""6138"", ""7938""]","[""\u25ba 12 Ki Multiplier is 150%"", ""\u25ba SA Lv.10 raises SA Multiplier by an additional 20%"", ""\u25ba SA Level can go up to 15, but only through Extreme Z-Awakening with special medals from the Extreme Z-Area event; click on any of the medals for a detailed overview of the Extreme Z-Awakening""]","[""\u2191 1.0 1.1 Raises ATK & DEF by 20% for 99 turns (How does it work?)\n"", ""\u2191 30% chance to stun the enemy for 2 turns\n"", ""\u2191 50% chance to stun the enemy for 2 turns\n"", ""\u2191 4.0 4.1 70% chance to evade enemy's attack\n"", ""\u2191 5.0 5.1 Recovers 5000 HP per candy obtained in certain events\n""]",,22 Oct 2020,22 Oct 2020,ATK & DEF +20% per Ki Sphere obtained,Amazing Rush (Extreme),Raises ATK & DEF[1] and causes supreme damage with a high chance of stunning the enemy[3],Great chance[4] of evading enemy's attack (including Super Attack); disables enemy's guard; ATK & DEF +20% per TEQ Ki Sphere obtained or DEF +10% per non-TEQ Ki Sphere obtained; recovers HP with candy[5],"[""6195"", ""6677"", ""7159"", ""7641"", ""8841"", ""10401""]","[""8489"", ""9149"", ""9810"", ""10470"", ""11670"", ""13710""]","[""5354"", ""5771"", ""6187"", ""6604"", ""7804"", ""9604""]",,,,,,,,,,,,,,,,,
Androids Hunting for Goku,Androids #14 & #15,80/100,1/10,SSR to UR,PHY to Extreme PHY,13/18,11851,29 Nov 2019,2 Apr 2020,"[""Boost Category"", ""Lower ATK"", ""Raise HP"", ""Raise ATK"", ""Raise DEF""]","""Target: Goku"" Category Ki +2 and HP, ATK & DEF +30%",Murderous Combination,Causes supreme damage to enemy and lowers ATK[1],Android Communication,"ATK & DEF +50%; plus an additional ATK & DEF +50% for the rest of battle when your team has ""Android 13 (disambiguation)"" attacking in the same turn","[""RR Army Lv 1: ATK +10%Lv 10: ATK & DEF +10%"", ""Android Assault Lv 1: DEF +10%Lv 10: Ki +2 and DEF +20%"", ""Tough as Nails Lv 1: DEF +15%Lv 10: DEF +20% and reduces damage received by 5%"", ""Cold Judgment Lv 1: DEF +20%Lv 10: DEF +25%"", ""Nightmare Lv 1: ATK +10%Lv 10: ATK +15%"", ""Fear and Faith Lv 1: Ki +2Lv 10: All enemies' DEF -10% and Ki +2""]","[""Androids"", ""Joined Forces"", ""Artificial Life Forms"", ""Target: Goku""]","[""1847"", ""6916"", ""8116"", ""10156""]","[""1921"", ""7384"", ""8584"", ""10384""]","[""896"", ""3318"", ""4518"", ""6078""]","[""\u25ba 12 Ki Multiplier is 120%""]","[""\u2191 Lowers enemy's ATK by 20% for 3 turns\n""]",,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenge Technology,Androids #14 & #15,120/140,1/10,,Extreme PHY,32,11852,29 Nov 2019,2 Apr 2020,"[""Boost Category"", ""Damage Reduction"", ""Foresee Super Attack"", ""Lower ATK"", ""Raise HP"", ""Raise ATK"", ""Raise DEF""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",,,Android Coordination,,"[""RR Army Lv 1: ATK +10%Lv 10: ATK & DEF +10%"", ""Android Assault Lv 1: DEF +10%Lv 10: Ki +2 and DEF +20%"", ""Tough as Nails Lv 1: DEF +15%Lv 10: DEF +20% and reduces damage received by 5%"", ""Cold Judgment Lv 1: DEF +20%Lv 10: DEF +25%"", ""Nightmare Lv 1: ATK +10%Lv 10: ATK +15%"", ""Fear and Faith Lv 1: Ki +2Lv 10: All enemies' DEF -10% and Ki +2"", ""Shattering the Limit Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +5%""]","[""Androids"", ""Joined Forces"", ""Artificial Life Forms"", ""Target: Goku""]","[""2280"", ""7525"", ""8725"", ""10765""]","[""2353"", ""7768"", ""8968"", ""10768""]","[""1086"", ""3584"", ""4784"", ""6344""]","[""\u25ba 12 Ki Multiplier is 135%"", ""\u25ba SA Level can go up to 15, but only through Extreme Z-Awakening with special medals from the Extreme Z-Area event; click on any of the medals for a detailed overview of the Extreme Z-Awakening""]","[""\u2191 Lowers enemy's ATK by 20% for 3 turns\n"", ""\u2191 Lowers enemy's ATK & DEF by 20% for 3 turns\n""]",,2 Nov 2021,9 Mar 2022,"""Target: Goku"" Category Ki +3 and HP, ATK & DEF +77%,<br/>or<br/>PHY Type Ki +3 and HP, ATK & DEF +50%",Murderous Combination (Extreme),Causes supreme damage to enemy and lowers ATK & DEF[2],"ATK & DEF +90%; plus an additional ATK & DEF +29% when performing a Super Attack; plus an additional ATK & DEF +90% and foresee enemy's Super Attack for the rest of battle when your team has ""Android 13 (disambiguation)"" attacking in the same turn; reduces damage received by 30% and all allies ATK & DEF +30% when your team has ""Android 13 (disambiguation)"" attacking in the same turn","[""8159"", ""8794"", ""9428"", ""10063"", ""11263"", ""13303""]","[""8423"", ""9078"", ""9733"", ""10388"", ""11588"", ""13388""]","[""3886"", ""4188"", ""4491"", ""4793"", ""5993"", ""7553""]",,,,,,,,,,,,,,,,,
Power Raised to the Maximum,Super Saiyan God SS Goku (Kaioken),80/100,1/10,SSR to UR,STR to Super STR,30/40,11853,1 Apr 2020,9 Dec 2019,"[""Boost Category"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Stack Attack"", ""Stack Defense""]","""Representatives of Universe 7"" or ""Universe Survival Saga"" Category Ki +2, HP +100% and ATK & DEF +140%",10x Kaioken God Kamehameha,Greatly raises ATK[1] and causes immense damage to enemy,Going All Out!,ATK & DEF +50%; plus an additional ATK & DEF +10% with each attack received (up to 50%); plus an additional ATK +59% when performing a Super Attack if HP is 59% or less (once only),"[""Godly Power Lv 1: ATK +15%Lv 10: ATK +15% and chance of performing a critical hit +5%"", ""Warrior Gods Lv 1: ATK +10%Lv 10: ATK +10%; ATK +5% when performing a Super Attack"", ""Super Saiyan Lv 1: ATK +10%Lv 10: ATK +15%"", ""Kamehameha Lv 1: ATK +5% when performing a Super AttackLv 10: ATK +10% when performing a Super Attack"", ""Tournament of Power Lv 1: Ki +3Lv 10: Ki +3 and ATK & DEF +7%"", ""Over in a Flash Lv 1: Ki +3Lv 10: Ki +3 and ATK +7%""]","[""Universe Survival Saga"", ""Realm of Gods"", ""Pure Saiyans"", ""Full Power"", ""Representatives of Universe 7"", ""Goku's Family"", ""Kamehameha"", ""Bond of Master and Disciple"", ""Final Trump Card"", ""All-Out Struggle"", ""Turtle School"", ""Mastered Evolution"", ""Bond of Friendship"", ""Accelerated Battle"", ""Power Beyond Super Saiyan"", ""Bond of Parent and Child""]","[""2089"", ""8625"", ""10625"", ""13625""]","[""2551"", ""10475"", ""12475"", ""15875""]","[""1186"", ""4844"", ""6844"", ""9444""]","[""\u25ba 12 Ki Multiplier is 140%"", ""\u25ba His additional +50% is calculated separately for a boost of +125%\nHis additional 59% is additive on top of his additional 50%, resulting in a max boost of 213.5%""]","[""\u2191 Raises ATK by 50% for 99 turns (How does it work?)\n""]",,,,,,,,,,,,,,,,,,,,,,,,,,,
Final Super Power,Super Saiyan God SS Goku (Kaioken),120,1/10,UR,Super STR,58,11854,1 Apr 2020,9 Dec 2019,"[""Attack Effective to All"", ""Boost All"", ""Boost Category"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Stack Attack"", ""Stack Defense""]","""Representatives of Universe 7"" or ""Universe Survival Saga"" Category Ki +3, HP +130% and ATK & DEF +170%",10x Kaioken God Kamehameha,Greatly raises ATK[1] and causes immense damage to enemy,To Fight the Best Fight!,ATK & DEF +59%; plus an additional ATK & DEF +10% with each attack received (up to 59%); plus an additional ATK +59% and attacks effective against all Types when performing a Super Attack if HP is 59% or less (once only),"[""Godly Power Lv 1: ATK +15%Lv 10: ATK +15% and chance of performing a critical hit +5%"", ""Warrior Gods Lv 1: ATK +10%Lv 10: ATK +10%; ATK +5% when performing a Super Attack"", ""Super Saiyan Lv 1: ATK +10%Lv 10: ATK +15%"", ""Kamehameha Lv 1: ATK +5% when performing a Super AttackLv 10: ATK +10% when performing a Super Attack"", ""Tournament of Power Lv 1: Ki +3Lv 10: Ki +3 and ATK & DEF +7%"", ""Over in a Flash Lv 1: Ki +3Lv 10: Ki +3 and ATK +7%"", ""Fierce Battle Lv 1: ATK +15%Lv 10: ATK +20%""]","[""Universe Survival Saga"", ""Realm of Gods"", ""Pure Saiyans"", ""Full Power"", ""Representatives of Universe 7"", ""Goku's Family"", ""Kamehameha"", ""Bond of Master and Disciple"", ""Final Trump Card"", ""All-Out Struggle"", ""Turtle School"", ""Mastered Evolution"", ""Bond of Friendship"", ""Accelerated Battle"", ""Power Beyond Super Saiyan"", ""Bond of Parent and Child""]","[""3303"", ""10900"", ""12900"", ""15900""]","[""3784"", ""12490"", ""14490"", ""17890""]","[""1837"", ""6063"", ""8063"", ""10663""]","[""\u25ba 12 Ki Multiplier is 150%"", ""\u25ba His first additional 59% is calculated separately from his initial 59%, resulting in a boost of +152.81%\nHis third 59% is additive on top of his second, which results in a boost of +246.62%\nHis 30% from his Active Skill is also calculated separately, resulting in a maximum boost of +350.606%, in addition to having all attacks for that turn being effective against all enemies when performing a Super Attack""]","[""\u2191 Raises ATK by 50% for 99 turns (How does it work?)\n""]",,,,,,,,,,,,,,,,,,,,,Spirit Bomb,Causes ultimate damage to enemy and raises allies' ATK by 30% for 1 turn,"Can be activated when HP is 59% or less with another 3 or more ""Representatives of Universe 7"" Category allies on the team (once only)",,,,
Important Task on Christmas Eve,Goku (Santa),1/40,N/A,SSR,TEQ,99,11855,12 Dec 2019,9 Dec 2019,,Guarantees Super ATK to level up by 1 in Training,None,None,None,None,"[""None""]",,"[""1"", ""1""]","[""1"", ""1""]","[""1"", ""1""]","[""\u25ba This card is not a playable character; you can use it in Training to gain +1 to Super Attack level of the card you're training""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruthless Android,Android #13,120/140,1/10,,Extreme STR,30,11856,29 Nov 2019,2 Apr 2020,"[""Damage Reduction"", ""Lower ATK"", ""Raise ATK"", ""Raise DEF"", ""Stack Attack"", ""Stack Defense""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",,,Data Link,,"[""RR Army Lv 1: ATK +10%Lv 10: ATK & DEF +10%"", ""Android Assault Lv 1: DEF +10%Lv 10: Ki +2 and DEF +20%"", ""Tough as Nails Lv 1: DEF +15%Lv 10: DEF +20% and reduces damage received by 5%"", ""Big Bad Bosses Lv 1: ATK & DEF +25% when HP is 80% or lessLv 10: ATK & DEF +25%"", ""Nightmare Lv 1: ATK +10%Lv 10: ATK +15%"", ""Fear and Faith Lv 1: Ki +2Lv 10: All enemies' DEF -10% and Ki +2"", ""Shattering the Limit Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +5%""]","[""Movie Bosses"", ""Androids"", ""Artificial Life Forms"", ""Target: Goku""]","[""2700"", ""8910"", ""10110"", ""11910""]","[""2317"", ""7648"", ""8848"", ""10888""]","[""1245"", ""4110"", ""5310"", ""6870""]","[""\u25ba 12 Ki Multiplier is 135%"", ""\u25ba  can be farmed to raise Super Attack"", ""\u25ba SA Level can go up to 15, but only through Extreme Z-Awakening with special medals from the Extreme Z-Area event; click on any of the medals for a detailed overview of the Extreme Z-Awakening""]","[""\u2191 1.0 1.1 Raises ATK & DEF by 20% for 99 turns (How does it work?)\n"", ""\u2191 Lowers enemy's DEF by 20% for 3 turns\n""]",,2 Nov 2021,9 Mar 2022,PHY Type enemies' ATK & DEF -40%,S.S. Deadly Bomber (Extreme),"Raises ATK & DEF[1], causes supreme damage to enemy and lowers DEF[2]","ATK +130%; Reduces damage received by 40% when Ki is 8 or more; plus an ATK & DEF +130% when facing an enemy whose name includes ""Goku (disambiguation)"" (Youth, Captain Ginyu, Jr., etc. excluded), ""Vegeta (disambiguation)"" (Kid, Jr., etc. excluded), ""Trunks (disambiguation)"" or ""Piccolo (disambiguation)"" (Demon King, Majin Buu, etc. excluded); plus an additional ATK & DEF +70% for the rest of the battle when your team has ""Android 14 (disambiguation)"" attacking in the same turn","[""9661"", ""10412"", ""11164"", ""11915"", ""13115"", ""14915""]","[""8293"", ""8938"", ""9583"", ""10228"", ""11428"", ""13468""]","[""4456"", ""4803"", ""5150"", ""5496"", ""6696"", ""8256""]",,,,,,,,,,,,,,,,,
Full-Throttled Interception,Great Saiyaman,80/100,1/10,SSR to UR,STR to Super STR,21/29,11857,26 Dec 2019,8 May 2020,"[""Boost Category"", ""Lower DEF"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Seal Super Attack""]","""Hybrid Saiyans"" Category Ki +2 and HP, ATK & DEF +100%",Kamehameha,Causes supreme damage to enemy and lowers DEF[1],Countermeasure Against Evil,"ATK & DEF +100%; high chance[2] of sealing the attacked enemy's Super Attack for 1 turn; ""Majin Buu Saga"" Category Super Class allies' Ki +1 and ATK & DEF +20%","[""Brainiacs Lv 1: ATK & DEF +10%Lv 10: ATK & DEF +15%"", ""The Saiyan Lineage Lv 1: Ki +1Lv 10: Ki +2 and ATK & DEF +5%"", ""Patrol Lv 1: Ki +2Lv 10: Ki +2 and DEF +20%"", ""Kamehameha Lv 1: ATK +5% when performing a Super AttackLv 10: ATK +10% when performing a Super Attack"", ""Hero of Justice Lv 1: ATK +25%Lv 10: ATK +25% and chance of performing a critical hit +5%"", ""Supreme Power Lv 1: ATK & DEF +5% and activates PenetrationLv 10: ATK & DEF +10% and activates Penetration""]","[""Hybrid Saiyans"", ""Majin Buu Saga"", ""Goku's Family"", ""Siblings' Bond"", ""Kamehameha"", ""Special Pose"", ""Defenders of Justice"", ""Bond of Parent and Child""]","[""1667"", ""5836"", ""7836"", ""10836""]","[""2037"", ""7510"", ""9510"", ""12910""]","[""1135"", ""3967"", ""5967"", ""8567""]","[""\u25ba 12 Ki Multiplier is 130%"", ""\u25ba  can be farmed to raise Super Attack\u25ba  can be purchased with Treasure Items and can be used to raise Super Attack""]","[""\u2191 Lowers enemy's DEF by 40% for 3 turns\n"", ""\u2191 50% chance to seal attacked enemy's Super Attack for 1 turn\n""]",,,,,,,,,,,,,,,,,,,,,,,,,,,
All-Out Resistance,Great Saiyaman (SS),120,1/10,UR,Super STR,40,11858,26 Dec 2019,8 May 2020,"[""Boost Category"", ""Lower DEF"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Seal Super Attack"", ""Stack Attack""]","""Hybrid Saiyans"" Category Ki +3 and HP, ATK & DEF +120%",Super Kamehameha,"Raises ATK[1], causes supreme damage to enemy and greatly lowers DEF[2]",Full-On Resistance,"ATK & DEF +120%; high chance[3] of sealing the attacked enemy's Super Attack for 2 turns; ""Majin Buu Saga"" Category Super Class allies' Ki +2 and ATK & DEF +30%","[""Brainiacs Lv 1: ATK & DEF +10%Lv 10: ATK & DEF +15%"", ""Golden Warrior Lv 1: All enemies' DEF -5% and Ki +1Lv 10: All enemies' DEF -10% and Ki +1"", ""Super Saiyan Lv 1: ATK +10%Lv 10: ATK +15%"", ""Kamehameha Lv 1: ATK +5% when performing a Super AttackLv 10: ATK +10% when performing a Super Attack"", ""Hero of Justice Lv 1: ATK +25%Lv 10: ATK +25% and chance of performing a critical hit +5%"", ""Supreme Power Lv 1: ATK & DEF +5% and activates PenetrationLv 10: ATK & DEF +10% and activates Penetration"", ""Fierce Battle Lv 1: ATK +15%Lv 10: ATK +20%""]","[""Hybrid Saiyans"", ""Majin Buu Saga"", ""Goku's Family"", ""Siblings' Bond"", ""Super Saiyans"", ""Kamehameha"", ""Special Pose"", ""Defenders of Justice"", ""Bond of Parent and Child""]","[""2404"", ""7936"", ""9936"", ""12936""]","[""2777"", ""9166"", ""11166"", ""14566""]","[""1620"", ""5347"", ""7347"", ""9947""]","[""\u25ba 12 Ki Multiplier is 140%""]","[""\u2191 Raises ATK by 30% for 99 turns (How does it work?)\n"", ""\u2191 Lowers enemy's DEF by 50% for 3 turns\n"", ""\u2191 50% chance to seal attacked enemy's Super Attack for 2 turns\n""]",,,,,,,,,,,,,,,,,,,,,,,,,,,
Wicked Wizard and Lord of the Demon Realm,Babidi & Dabura,150,1/20,LR,Extreme AGL,99,11859,4 May 2020,4 Jan 2021,"[""Boost Category"", ""Critical Hit"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Seal Super Attack"", ""Stun""]","""Majin Buu Saga"" Category Ki +3 and HP, ATK & DEF +130%",Evil Splash,Causes colossal damage to enemy and seals Super Attack,Magic Power Control,"Ki +3 and ATK & DEF +88%; plus an additional Ki +3 and ATK & DEF +40% when the target enemy is in ""ATK Down"" or ""DEF Down"" status; plus an additional Ki +3 and high chance[2] of performing a critical hit when the target enemy is stunned or the target enemy's Super Attack is sealed; ""Majin Power"" Category allies' Ki +3 and ATK & DEF +30%","[""Master of Magic Lv 1: ATK +15%Lv 10: ATK +15% and all enemies' DEF -10%"", ""Majin Resurrection Plan Lv 1: Ki +2Lv 10: Ki +2 and DEF +20%"", ""Thirst for Conquest Lv 1: ATK +15%Lv 10: ATK & DEF +15%"", ""Brutal Beatdown Lv 1: ATK +10%Lv 10: ATK +15%"", ""Nightmare Lv 1: ATK +10%Lv 10: ATK +15%"", ""Fear and Faith Lv 1: Ki +2Lv 10: All enemies' DEF -10% and Ki +2"", ""Legendary Power Lv 1: ATK +10% when performing a Super AttackLv 10: ATK +15% when performing a Super Attack""]","[""Majin Buu Saga"", ""Joined Forces"", ""Terrifying Conquerors""]","[""4007"", ""13224"", ""15224"", ""17824""]","[""3822"", ""12613"", ""14613"", ""17613""]","[""2324"", ""7672"", ""9672"", ""13072""]","[""\u25ba 12 Ki Multiplier is 150%; 24 Ki Multiplier is 200%\u00a0\u00a0\u00a0\u00a0\u2022 (Full 12-24 Ki Multipliers table)\u25ba SA Lv.20 raises SA Multiplier by an additional 30%"", ""\u25ba Their additional ATK & DEF +40% is calculated separately, for a total boost of +163.2% when the target enemy is in \""ATK Down\"" or \""DEF Down\"" status""]","[""\u2191 50% chance to stun the enemy for 2 turns\n"", ""\u2191 50% chance to perform a critical hit\n""]",,,,,,,,,,,,,,,, Babidi's Sinister Sorcery,Causes mega-colossal damage with a high chance of stunning the enemy[1],,,,,,,,,,
Fused Fighter and Protector of Earth,Gogeta,80/100,1/10,SSR to UR,STR to Super STR,26/34,11860,30 Jan 2020,9 Jul 2020,"[""Additional Attack"", ""Boost Category"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Stack Attack""]","""Final Trump Card"" or ""Fusion"" Category Ki +2 and HP, ATK & DEF +100%",Meteor Attack,Raises ATK[1] and causes supreme damage to enemy,I'm Gogeta!,ATK & DEF +50%; Ki +1 and launches an additional attack that has a medium chance[2] of becoming a Super Attack when attacking,"[""Saiyan Warrior Race Lv 1: ATK +5%Lv 10: ATK +10%"", ""Fused Fighter Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +5%"", ""Prepared for Battle Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +5%"", ""Over in a Flash Lv 1: Ki +3Lv 10: Ki +3 and ATK +7%"", ""The Saiyan Lineage Lv 1: Ki +1Lv 10: Ki +2 and ATK & DEF +5%""]","[""Fusion"", ""Movie Heroes"", ""Final Trump Card"", ""Powerful Comeback"", ""Time Limit"", ""Fused Fighters""]","[""2126"", ""8378"", ""10378"", ""13378""]","[""2297"", ""9106"", ""11106"", ""14506""]","[""807"", ""3109"", ""5109"", ""7709""]","[""\u25ba 12 Ki Multiplier is 140%"", ""\u25ba  can be farmed to raise Super Attack""]","[""\u2191 Raises ATK by 30% for 99 turns (How does it work?)\n"", ""\u2191 30% chance for additional attack to become a Super Attack\n""]",,,,,,,,,,,,,,,,,,,,,,,,,,,
Flaming Reversal of Fortunes,Gogeta,120,1/10,UR,Super STR,58,11861,30 Jan 2020,9 Jul 2020,"[""Additional Attack"", ""Boost Category"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Stack Attack""]","""Final Trump Card"" or ""Fusion"" Category Ki +3 and HP, ATK & DEF +120%",Meteor Attack,Raises ATK[1] and causes supreme damage to enemy,Fusion Fighter!,ATK & DEF +60%; Ki +2 and launches an additional attack that has a medium chance[2] of becoming a Super Attack when attacking,"[""Saiyan Warrior Race Lv 1: ATK +5%Lv 10: ATK +10%"", ""Fused Fighter Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +5%"", ""Prepared for Battle Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +5%"", ""Over in a Flash Lv 1: Ki +3Lv 10: Ki +3 and ATK +7%"", ""The Saiyan Lineage Lv 1: Ki +1Lv 10: Ki +2 and ATK & DEF +5%"", ""Fierce Battle Lv 1: ATK +15%Lv 10: ATK +20%""]","[""Fusion"", ""Movie Heroes"", ""Final Trump Card"", ""Powerful Comeback"", ""Time Limit"", ""Fused Fighters""]","[""2999"", ""9898""]","[""3097"", ""10223""]","[""1982"", ""3604""]","[""\u25ba 12 Ki Multiplier is 160%"", ""\u25ba  can be farmed to raise Super Attack""]","[""\u2191 Raises ATK by 30% for 99 turns (How does it work?)\n"", ""\u2191 30% chance for additional attack to become a Super Attack\n""]",,,,,,,,,,,,,,,,,,,,,,,,,,,
